AuthorID,Author,Date,Content,Attachments,Reactions
"159035293180100609","deejay0076","01/01/2023 12:23 PM","I am guessing you are calling a method with a large array as an argument?","",""
"282817739695849472","jadge1","01/02/2023 5:39 AM","Hi guys, I would really appreciate if anyone can help me with batch minting nfts on hedera. Thanks","",""
"159035293180100609","deejay0076","01/02/2023 5:55 AM","batch minting? care to elaborate for us to try and help? from a smart contract? with api? a more detailed use case? happy to try and help but right now I have to guess what you want which likely leads to disappointment for all involved. Thanks!","",""
"282817739695849472","jadge1","01/02/2023 6:09 AM","@Deejay Thanks for taking time to reply. I want to mint 2999 NFTs each 1 of 1 (images with metadata) rather than using a service like mintbar (nothing against the service) where it will mint 1 nft at a time and input metadata (attributes one by one). All NFTs data (images+metadata) can be bulk uploaded to IPFS (such as NFT storage) for a minting script to call NFT storage api. I'm new to HBAR and don't really know how smart contract can be used for minting large number of NFTs in one go. I want to achieve something matt woodward did with his minting script ( Youtube Title - How to Mint an NFT on Hedera Token Service (HTS) using the JS SDK).","",""
"159035293180100609","deejay0076","01/02/2023 6:11 AM","Do you want to do it in a decentralized manner (Smart Contracts, no keys in your account) or via script into your own account (API) and you hand them out to people or contact a launchpad to distribute?","",""
"159035293180100609","deejay0076","01/02/2023 6:11 AM","in hedera tokens are native (Hedera Token Service) so there is no need for a smart contract however it does allow for a more decentralized mint (my opinion)","",""
"282817739695849472","jadge1","01/02/2023 6:14 AM","I have seen that happen in Algorand. I would love to have smart contract way of minting. However, I'm not sure how Zuse marketplace will handle the launch using their launchpad if smart contact way of minting is done.","",""
"159035293180100609","deejay0076","01/02/2023 6:14 AM","zuse launchpad would not work indeed...but why use it 😄","",""
"282817739695849472","jadge1","01/02/2023 6:15 AM","As I mentioned I'm new to Hedera. I'm open to suggestions and would appreciate any help I can get.","",""
"159035293180100609","deejay0076","01/02/2023 6:16 AM","https://minter.lazysuperheroes.com/ that's cheaper, smart contract based and more decentralized...plus the code is open source. [trying to at least keep this smart contract aligned given the channel]","",""
"282817739695849472","jadge1","01/02/2023 6:16 AM","Many thanks I'm looking into it rightaway","",""
"159035293180100609","deejay0076","01/02/2023 6:21 AM","if you wish to mint and use a separate launchpad (like hedera sentient, Zuse, Turtle Moon or HashGuild) there are (paid - or gated) services out there that i think help (Kablia, Hbarspace) to help you mass mint. or you could look into TMT minting tools which was one of the originals and is open source/runs on your computer or if you don't mind rolling up your sleeves and running scripts then I have a suite of minting scripts that I make available via 'coding corner' to LSH holders in the discord - perhaps less user friendly but full power in your hands. Feel free to hit me up on DMs to save me from polluting the channel further.","",""
"282817739695849472","jadge1","01/02/2023 6:23 AM","Thanks mate appreciate your time. I'll DM you soon. Cheers","",""
"159035293180100609","deejay0076","01/02/2023 6:23 AM","....I think i gave everyone a shout out there but if i did not sorry to those i missed!","",""
"1059042719290372166","cm74#4165","01/02/2023 6:45 AM","Hi! Happy new year to everyone! I am new to Hedera and I have some questions. I am following the tutorial Create and Transfer Your First NFT on Hedera's website. Could anyone tell me what are the parameters: OPERATOR_ID, OPERATOR_PVKEY, TREASURY_ID, TREASURY_PVKEY, ALICE_ID, ALICE_PVKEY and where could I find them ? Thanks !!","",""
"940318538739109928","bektas#2248","01/02/2023 7:05 AM","What hashpack wallet Invalid transaction timestamp or hash: 0.0.1603280-1672645815-951488513","",""
"382925379561717761","andy12345_","01/02/2023 8:05 AM","hello. can I ask something about solidity smart contracts. I can't find an explorer for them? Is there an explorer where people can see verified contracts, query transactions etc etc. ? if not, how you do the ""verification"" process for smart contracts (compare bytecode) ?","",""
"306966472692072448","vr1587","01/02/2023 8:21 AM","I believe for now you have to manually compare bytecode as explorers don't have built in verification atm","",""
"159035293180100609","deejay0076","01/02/2023 9:17 AM","as @VR said (for now) comparing bytecodes is all we have (I am sure it's on the roadmap to give us better tools). Hashscan can let you see some of what you want including the initcode: https://hashscan.io/testnet/contract/0.0.48486072 but agree it's not ideal (yet).","",""
"306966472692072448","vr1587","01/02/2023 9:34 AM","@Deejay  but if I compare bytecode from hashscan to my abi.json that I've uploaded it should be same ye?","",""
"159035293180100609","deejay0076","01/02/2023 10:54 AM","indeed","",""
"159035293180100609","deejay0076","01/02/2023 10:54 AM","well it was the time i tried it 😄","",""
"306966472692072448","vr1587","01/04/2023 10:22 AM","What's the limit on SC return parameters?","",""
"306966472692072448","vr1587","01/04/2023 10:23 AM","I'm currently at 10, might have to jump to 28 :S","",""
"306966472692072448","vr1587","01/04/2023 10:24 AM","like 28 x 256B = 7 KBs","",""
"306966472692072448","vr1587","01/04/2023 10:24 AM","I guess it's time to rework it a bit eh?","",""
"306966472692072448","vr1587","01/04/2023 10:25 AM","yeah I can downscale to 15 from 28 it seems","",""
"782671862667804674","johnda98","01/04/2023 11:29 AM","good quest..  I return a String array in a new Sc..  made it fixed length at usecase level.. just in case.","",""
"306966472692072448","vr1587","01/04/2023 11:41 AM","this is wrong lol, 28 * 256b or 28*32B","",""
"159035293180100609","deejay0076","01/04/2023 11:41 AM","I think you have good headroom - seem to think i ran tests that returned multiples of that but i can't remember if i tested the limit","",""
"306966472692072448","vr1587","01/04/2023 11:42 AM","well considering I have 4 uint8s there I'm just gonna use compression to uint32 anyways","",""
"429323958592995328","Greg Scullard#5365","01/05/2023 7:38 AM","There are many different ways (SDK, Hethers.js, ethers.js, web3.js...), which are you using and how is it failing ?","",""
"429323958592995328","Greg Scullard#5365","01/05/2023 7:39 AM","Try https://hashio.io (the website)","",""
"429323958592995328","Greg Scullard#5365","01/05/2023 7:42 AM","OPERATOR_ID, OPERATOR_PVKEY are the `accountId` and `privateKey` from the hedera portal (https://portal.hedera.com) where you can create a testnet account.
could you link to the tutorial so I can check the contents for the other values ? They are probably accounts that you need to create first for Alice and Treasury, once you have created them, you'll have their AccountId and private keys.","",""
"1059042719290372166","cm74#4165","01/05/2023 8:32 AM","Thanks for the reply. I got it! It is working now!","","👍 (1)"
"886192041644675182","mojowlekaz","01/06/2023 4:00 AM","Please provide me the doc for using ethers.Js","",""
"159035293180100609","deejay0076","01/06/2023 5:50 AM","https://docs.hedera.com/hethers/getting-started","",""
"1047083013172887552","Daniel Gomes#4700","01/06/2023 6:28 AM","Hi , the Hedera Smart Contract Service docs say that Solidity 0.8.9 is supported.
Should I compile the smart contract using only this version? Can I use the lastest Solidity version, 0.8.17?

https://docs.hedera.com/hedera/docs/sdks/smart-contracts/create-a-smart-contract","",""
"782671862667804674","johnda98","01/06/2023 9:13 AM","sure u can solc to 8.17 .. just dont expect aspects of .sol that pertain to ^0.8.9 to behave","",""
"546936769283620884","0xanon","01/07/2023 7:19 AM","What's the limit for it?","https://cdn.discordapp.com/attachments/909532351388864542/1061257678577471558/image.png",""
"291849995639062528","Shiko#7935","01/07/2023 8:30 AM","hello, 
im using HTS on solidity to create a fungible token, 
calling the function ""HederaTokenService.createFungibleToken(myToken, supply, 8);""

this always gives me this error ""INSUFFICIENT_TX_FEE""

i tried multiple ways, i gave the contract some hbar, set the default max tx fee to 1000Hbar, it always throws this error,
im stuck at this if anyone can give me more insight i'd appreciate it .","",""
"159035293180100609","deejay0076","01/07/2023 1:20 PM","10 ‘legs’, so 8 NFTs plus a payment and a receiver.","",""
"159035293180100609","deejay0076","01/07/2023 1:21 PM","Sounds odd - I have an open repository for this use case though if you want to see it and compare notes.","",""
"159035293180100609","deejay0076","01/07/2023 1:21 PM","It has a unit test suite so should help you see the differences","",""
"291849995639062528","Shiko#7935","01/07/2023 1:46 PM","that would be great,","",""
"159035293180100609","deejay0076","01/07/2023 2:19 PM","https://github.com/Burstall/hedera-FT-SC-implementation","",""
"159035293180100609","deejay0076","01/07/2023 2:20 PM","That shows various options, the deployed versions are a cutdown copy to pick the bits needed by a given project.","",""
"429323958592995328","Greg Scullard#5365","01/07/2023 8:03 PM","And more here https://hedera.com/blog/leveraging-ethereum-developer-tools-on-hedera","",""
"429323958592995328","Greg Scullard#5365","01/07/2023 8:04 PM","There are a few other blogs/tutorials https://hedera.com/blog/how-to-set-up-foundry-to-test-smart-contracts-on-hedera","",""
"306966472692072448","vr1587","01/08/2023 2:18 AM","Is there a function with which SC can check how much balance it has for the tokenAddress provided in a call?","",""
"159035293180100609","deejay0076","01/08/2023 5:53 AM","IERC721(_token).balanceOf(msg.sender) ?","",""
"306966472692072448","vr1587","01/08/2023 5:53 AM","and for HTS? 😄","",""
"159035293180100609","deejay0076","01/08/2023 5:54 AM","why worry?","",""
"306966472692072448","vr1587","01/08/2023 5:55 AM","wym","",""
"159035293180100609","deejay0076","01/08/2023 5:55 AM","IERC721(wlToken).ownerOf(serials[i]) == msg.sender","",""
"159035293180100609","deejay0076","01/08/2023 5:55 AM","if checking down for a serial","",""
"159035293180100609","deejay0076","01/08/2023 5:55 AM","I just mean the IERC721 cast works perfectly so why worrry","",""
"159035293180100609","deejay0076","01/08/2023 5:56 AM","[not aware of a method from the precompile that does it but maybe it has been added and I did not notice]","",""
"306966472692072448","vr1587","01/08/2023 5:56 AM","no I mean for fungible HTS token, assuming I want to check if the amount of token in contract is, and if X > Y then do Z, otherwise do nothing/A","",""
"306966472692072448","vr1587","01/08/2023 6:02 AM","@Deejay essentially like checking account balance from mirror node but for contract to do it for itself with token if holds provided as input","",""
"159035293180100609","deejay0076","01/08/2023 6:04 AM","oh i see well just cast as IERC20 and then use balanceOf","",""
"306966472692072448","vr1587","01/08/2023 6:04 AM","does every HTS FT token have ERCs built in or do I have to expand my tokens by ERCs? 🤔","",""
"159035293180100609","deejay0076","01/08/2023 6:06 AM","built-in. Not all methods available but these core ones are.

@Greg Scullard  wrote a good article on it https://hedera.com/blog/mapping-hedera-token-service-standards-to-erc20-erc721-erc1155","",""
"306966472692072448","vr1587","01/08/2023 6:07 AM","amazin","",""
"887864068722028565","littletarzan","01/08/2023 12:07 PM","is the function payable and are u sending about $1 in hbar to it","",""
"887864068722028565","littletarzan","01/08/2023 12:10 PM","here's an example: https://github.com/saucerswaplabs/saucerswaplabs-core/blob/master/contracts/WHBAR.sol#L16","",""
"429323958592995328","Greg Scullard#5365","01/08/2023 3:40 PM","The article is pretty old but yes, native tokens have a native erc20 interface, just the basic interface mind you, not the burnable, mintable….","",""
"291849995639062528","Shiko#7935","01/09/2023 2:01 AM","thanks a lot got it working, it had to do with the payable using hethers","","👍 (1)"
"782671862667804674","johnda98","01/09/2023 10:27 AM","this morning received a java.util.concurrent TimeoutException from within ContractExecuteTransaction - hh java sdk.   mainnet not in maint.   SC call did not revert - completed fine and my DApp handled the exception

on same fast transport my end.  -  made same call many times before.. 1st time seen.   native java app dependencies hitting mainnet implemented are

   <dependency>
            <groupId>com.hedera.hashgraph</groupId>
            <artifactId>sdk</artifactId>
            <!-- <version>2.0.4</version> april 20-->
            <version>2.15.0</version>
            <!--<version>2.5.1</version>-->
        </dependency>

        <dependency>
            <groupId>io.grpc</groupId>
            <artifactId>grpc-netty-shaded</artifactId>
            <!--<version>1.31.1</version> -->
            <version>1.40.0</version><!-- back to  old.. 8/4 changed to 1.47 on 7/26th-->
            <!--<version>1.47.0</version> probs with running on mac native as artifact-->
        </dependency>

no stack trace as was in production but my dapp catches and displays any sdk returned exception msg - for customer to screen print and report back.

probly just transport blip.","",""
"415523666982469652","bugbytes","01/09/2023 11:02 AM","Not sure if its related, but saw low level gRPC connection errors on *testnet* early this morning.","",""
"782671862667804674","johnda98","01/09/2023 11:03 AM","yup probly transport blips...  phase of moon.. sunspot 😉","",""
"415523666982469652","bugbytes","01/09/2023 11:03 AM","Saw some query rejections about the same time ""Network Changed Price of Query ...."" starting to wonder if there's a concurrency issue going on.","",""
"782671862667804674","johnda98","01/09/2023 11:05 AM","gas price/tran fiat peg calc every ?   how often that lambda aws re-calc happen ?  as hbar spiked up 10% earlier - in silly $ terms anyways","",""
"415523666982469652","bugbytes","01/09/2023 11:06 AM","Yeah, when conversion rate changes, there's a window where QUERY_ASK returns an invalid price for a query.","",""
"774096601361809450","mantihs#9402","01/10/2023 12:20 AM","Do we have to pay a transaction fee for querying data from a Hedera smart contract?
If yes, why do they charge if there is no state change in ContractCallLocal?","",""
"978173355360395286","hemant4832","01/10/2023 3:30 AM","Hi Everyone, i am trying to do a approved transfer from smart contarct
But this gives me error that spender does not have enough allowance.
I double checked we do have allowance
https://hashscan.io/testnet/transaction/1673338881.922853773?tid=0.0.49226051-1673338870-448339260
Can someone help me what i am doing wrong","",""
"168749001850486784","RaphaelM#1144","01/10/2023 6:50 AM","Hey @hemant can you share your code ? 
When you want to do an approved transfer first you have to approve the amount and the account that can spend your tokens.
The allowance function is only to check how many tokens you can spend.","",""
"168749001850486784","RaphaelM#1144","01/10/2023 6:52 AM","Maybe the amount specified for the transfer is higher than the one specified when calling the approve function ?","",""
"159035293180100609","deejay0076","01/10/2023 7:09 AM","You do have to pay for queries. You can push events to logs and read them off the mirror node for free though.","",""
"774096601361809450","mantihs#9402","01/10/2023 7:14 AM","What about json rpc relay?","",""
"377865013030813717","supremax67","01/10/2023 8:04 AM","@mantihs Almost every API calls on the Hedera network has fees, albeit very small in some cases. As for why do they exist?
1. You are using network resources
2. A network without fees suffers both from inflationary hidden cost and is susceptible to no cost spam attacks.","",""
"978173355360395286","hemant4832","01/10/2023 9:04 AM","I have given allowance using SDK, and even when i try to fetch the allowance it does show me 5000, but transfer wont work","",""
